dia,mes,gestion,concentracion
1,1,2010,41.27
2,1,2010,30.34
3,1,2010,23.11
4,1,2010,32.56
5,1,2010,35.07
6,1,2010,34.25
7,1,2010,37.06
8,1,2010,43.76
9,1,2010,43.34
10,1,2010,24.93
11,1,2010,31.56
12,1,2010,45.72
13,1,2010,40.54
14,1,2010,38.13
15,1,2010,28.12
16,1,2010,36.85
17,1,2010,36.67
18,1,2010,33.03
19,1,2010,47.67
20,1,2010,50.03
21,1,2010,41.97
22,1,2010,33.7
23,1,2010,38.62
24,1,2010,36.72
25,1,2010,43.18
26,1,2010,49.44
27,1,2010,46.09
28,1,2010,44.22
29,1,2010,52.24
30,1,2010,42.16
31,1,2010,32.75
1,2,2010,42
2,2,2010,48.32
3,2,2010,50.62
4,2,2010,52.15
5,2,2010,36.24
6,2,2010,43
7,2,2010,44
8,2,2010,47.31
9,2,2010,39.97
10,2,2010,54.94
11,2,2010,43.16
12,2,2010,46.03
13,2,2010,37.44
14,2,2010,26.04
15,2,2010,28.09
16,2,2010,31.88
17,2,2010,40.06
18,2,2010,39.16
19,2,2010,42.14
20,2,2010,51.29
21,2,2010,31.15
22,2,2010,42.88
23,2,2010,52.78
24,2,2010,44.03
25,2,2010,40.59
26,2,2010,35.03
27,2,2010,31.44
28,2,2010,27.69
1,3,2010,37.19
2,3,2010,37.19
3,3,2010,39.91
4,3,2010,43.13
5,3,2010,41.31
6,3,2010,37.75
7,3,2010,41.84
8,3,2010,49.94
9,3,2010,37.16
10,3,2010,48.03
11,3,2010,44.06
12,3,2010,48.84
13,3,2010,60.91
14,3,2010,38.34
15,3,2010,32.63
16,3,2010,35.14
17,3,2010,34.69
18,3,2010,43.56
19,3,2010,44.56
20,3,2010,36.06
21,3,2010,42.5
22,3,2010,52.5
23,3,2010,49.5
24,3,2010,49.06
25,3,2010,32.19
26,3,2010,41.09
27,3,2010,40.5
28,3,2010,34.56
29,3,2010,35.74
30,3,2010,36.19
31,3,2010,38.27
1,4,2010,49.16
2,4,2010,34.6
3,4,2010,32.44
4,4,2010,20.13
5,4,2010,26.2
6,4,2010,35.41
7,4,2010,36.54
8,4,2010,44.63
9,4,2010,45.13
10,4,2010,55.97
11,4,2010,52.5
12,4,2010,45.97
13,4,2010,52.44
14,4,2010,42.06
15,4,2010,39.22
16,4,2010,38
17,4,2010,53.22
18,4,2010,38.84
19,4,2010,50.28
20,4,2010,49.5
21,4,2010,48.66
22,4,2010,42.75
23,4,2010,60.13
24,4,2010,39
25,4,2010,39.67
26,4,2010,45.78
27,4,2010,52.63
28,4,2010,41.56
29,4,2010,35.69
30,4,2010,28.81
1,5,2010,30.19
2,5,2010,25.5
3,5,2010,40.5
4,5,2010,42.75
5,5,2010,48.41
6,5,2010,54.59
7,5,2010,52.34
8,5,2010,52.19
9,5,2010,34.75
10,5,2010,54.53
11,5,2010,46.94
12,5,2010,49.81
13,5,2010,52.69
14,5,2010,67.13
15,5,2010,71.81
16,5,2010,54.91
17,5,2010,42.78
18,5,2010,51.47
19,5,2010,52.66
20,5,2010,55.38
21,5,2010,60.19
22,5,2010,43.06
23,5,2010,45.59
24,5,2010,50.66
25,5,2010,49.75
26,5,2010,40.78
27,5,2010,40.59
28,5,2010,43.66
29,5,2010,41.66
30,5,2010,35.31
31,5,2010,36.59
1,6,2010,42.94
2,6,2010,55.47
3,6,2010,40.06
4,6,2010,43.13
5,6,2010,41.09
6,6,2010,33.22
7,6,2010,49.78
8,6,2010,52.78
9,6,2010,57.63
10,6,2010,55.84
11,6,2010,63.72
12,6,2010,65.66
13,6,2010,52.78
14,6,2010,62.81
15,6,2010,66.53
16,6,2010,67.81
17,6,2010,67.94
18,6,2010,61.75
19,6,2010,61.22
20,6,2010,51.88
21,6,2010,49.91
22,6,2010,49.22
23,6,2010,84.28
24,6,2010,100.84
25,6,2010,69.28
26,6,2010,57.31
27,6,2010,47.28
28,6,2010,40.78
29,6,2010,42.88
30,6,2010,55.03
1,7,2010,56.94
2,7,2010,70.72
3,7,2010,64.31
4,7,2010,67.13
5,7,2010,70
6,7,2010,60.53
7,7,2010,62.5
8,7,2010,70.34
9,7,2010,63.53
10,7,2010,53.81
11,7,2010,47.84
12,7,2010,71.75
13,7,2010,78.91
14,7,2010,69.19
15,7,2010,98.81
16,7,2010,65.69
17,7,2010,36.03
18,7,2010,33.64
19,7,2010,53.38
20,7,2010,54
21,7,2010,45.13
22,7,2010,67.28
23,7,2010,77.97
24,7,2010,73.21
25,7,2010,45.44
26,7,2010,52.34
27,7,2010,62.66
28,7,2010,57.47
29,7,2010,60.16
30,7,2010,73.28
31,7,2010,65.53
1,8,2010,54.03
2,8,2010,57.63
3,8,2010,50.06
4,8,2010,57.69
5,8,2010,53.34
6,8,2010,54.34
7,8,2010,49.97
8,8,2010,45.72
9,8,2010,54.69
10,8,2010,69.16
11,8,2010,81.38
12,8,2010,63.16
13,8,2010,66.28
14,8,2010,70.19
15,8,2010,56.03
16,8,2010,64.66
17,8,2010,68.91
18,8,2010,68.81
19,8,2010,73.66
20,8,2010,81.44
21,8,2010,78.59
22,8,2010,72.41
23,8,2010,68.88
24,8,2010,75.75
25,8,2010,107.15
26,8,2010,81.13
27,8,2010,87.34
28,8,2010,73.75
29,8,2010,58.72
30,8,2010,63.03
31,8,2010,49.66
1,9,2010,47.81
2,9,2010,44
3,9,2010,44.69
4,9,2010,48.34
5,9,2010,33.03
6,9,2010,38.94
7,9,2010,34.53
8,9,2010,49.84
9,9,2010,58.44
10,9,2010,66.07
11,9,2010,70.06
12,9,2010,63.77
13,9,2010,41.87
14,9,2010,51.84
15,9,2010,48.06
16,9,2010,53.94
17,9,2010,49.59
18,9,2010,67.47
19,9,2010,69.5
20,9,2010,80.63
21,9,2010,89.97
22,9,2010,98.81
23,9,2010,95.69
24,9,2010,86.13
25,9,2010,70.41
26,9,2010,48.44
27,9,2010,57.59
28,9,2010,60.09
29,9,2010,75.94
30,9,2010,81.34
1,10,2010,78.5
2,10,2010,69.69
3,10,2010,30.97
4,10,2010,49.63
5,10,2010,40.41
6,10,2010,52.06
7,10,2010,47.75
8,10,2010,45.44
9,10,2010,30
10,10,2010,38.59
11,10,2010,27.45
12,10,2010,44.91
13,10,2010,52.03
14,10,2010,55.53
15,10,2010,47.19
16,10,2010,43.28
17,10,2010,31.5
18,10,2010,33.41
19,10,2010,35.34
20,10,2010,36.91
21,10,2010,36.38
22,10,2010,47.75
23,10,2010,43.09
24,10,2010,35.81
25,10,2010,41.28
